generation,best_r2,mean_r2,valid_count,best_fitness
0,0.7546589666339962,0.24927865716790146,42,0.20698265221543907
1,0.7879076282051948,0.5813589941614898,50,0.17893232545108687
2,0.7923487529428213,0.6977442724717979,57,0.17518555808648464
3,0.7923487529428213,0.7644726092804157,59,0.17518555808648464
4,0.7950675255406983,0.7611845371000149,51,0.17289185794444709
5,0.7950675255406983,0.78032395207119,50,0.17289185794444709
6,0.7965999412537623,0.7691389665896334,55,0.17159903112198313
7,0.7965999412537623,0.7866857059464704,47,0.17159903112198313
8,0.7980696511832337,0.7871094141067293,52,0.17035910621005232
9,0.7980696511832337,0.7876805308924018,42,0.17035910621005232
10,0.8015364659182286,0.7896740507510512,42,0.16743431821701274
11,0.8015364659182286,0.7891074785636685,36,0.16743431821701274
12,0.8023548740194915,0.7963224082751195,53,0.16674386592262921
13,0.8028425858749513,0.7946891944867122,42,0.16633240644528452
14,0.8028425858749513,0.7727183395698096,37,0.1663324064452845
15,0.8028425858749513,0.7971008367811089,36,0.1663324064452845
